CAD$,,,,,,Revenue,Revenue,Revenue,Revenue,Revenue,Revenue,Revenue,Cost of Goods Sold,Cost of Goods Sold,Cost of Goods Sold,Cost of Goods Sold,Operating Expenses,Operating Expenses,Operating Expenses,Operating Expenses,Operating Expenses,Operating Expenses,Operating Expenses,Operating Expenses,Below The Line,Below The Line,Below The Line,Below The Line,Below The Line,Assets,Assets,Assets,Assets,Assets,Assets,Assets,Assets,Assets,Assets,Assets,Liabilities,Liabilities,Liabilities,Liabilities,Liabilities,Liabilities,Liabilities,Liabilities,Equity,Equity,Equity,,,,,,,,,,,,,,,,,
2026-01-20,COMM HYDRO BILL PMT,B.C. HYDRO-PAP,-485.48,"49,682.13",,,,,,,,,,,,,,,,,,,485.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2026-01-20,Payroll Deposit,INTUIT 09479587,-1797.07,"47,885.06",,,,,,,,,,,,,,,,,,,1797.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2026-01-20,Payroll Deposit,INTUIT 09479587,-1511.26,"46,373.80",,,,,,,,,,,,,,,,,,,1511.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2026-01-20,Payroll Deposit,INTUIT 09479587,-1397.61,"44,976.19",,,,,,,,,,,,,,,,,,,1397.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2026-01-20,Payroll Deposit,INTUIT 09479587,-1550.16,"43,426.03",,,,,,,,,,,,,,,,,,,1550.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2026-01-20,Payroll Deposit,INTUIT 09479587,-1739.32,"41,686.71",,,,,,,,,,,,,,,,,,,1739.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2026-01-20,Payroll Deposit,INTUIT 09479587,-2096.76,"39,589.95",,,,,,,,,,,,,,,,,,,2096.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2026-01-20,Payroll Deposit,INTUIT 09479587,-832.62,"38,757.33",,,,,,,,,,,,,,,,,,,832.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2026-01-20,Payroll Deposit,INTUIT 09479587,-1874.31,"36,883.02",,,,,,,,,,,,,,,,,,,1874.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2026-01-20,Payroll Deposit,INTUIT 09479587,-2096.24,"34,786.78",,,,,,,,,,,,,,,,,,,2096.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2026-01-20,Payroll Deposit,INTUIT 09479587,-1970.11,"32,816.67",,,,,,,,,,,,,,,,,,,1970.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2026-01-20,Payroll Deposit,INTUIT 09479587,-1843.86,"30,972.81",,,,,,,,,,,,,,,,,,,1843.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2026-01-20,Payroll Deposit,INTUIT 09479587,-1970.11,"29,002.70",,,,,,,,,,,,,,,,,,,1970.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2026-01-20,Payroll Deposit,INTUIT 09479587,-1797.07,"27,205.63",,,,,,,,,,,,,,,,,,,1797.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2026-01-20,Payroll Deposit,INTUIT 09479587,-2371.04,"24,834.59",,,,,,,,,,,,,,,,,,,2371.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2026-01-20,Payroll Deposit,INTUIT 09479587,-1843.86,"22,990.73",,,,,,,,,,,,,,,,,,,1843.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2026-01-20,Payroll Deposit,INTUIT 09479587,-1445.43,"21,545.30",,,,,,,,,,,,,,,,,,,1445.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2026-01-20,Payroll Deposit,INTUIT 09479587,-2096.76,"19,448.54",,,,,,,,,,,,,,,,,,,2096.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2026-01-20,Payroll Deposit,INTUIT 09479587,-2728.21,"16,720.33",,,,,,,,,,,,,,,,,,,2728.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2026-01-20,Payroll Deposit,INTUIT 09479587,-1843.86,"14,876.47",,,,,,,,,,,,,,,,,,,1843.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2026-01-20,LOAN PAYMENT,,-5000,"9,876.47",,,,,,,,,,,,,,,,,,,,,,,,,,,5000,,,,,,,,,,,,,,,,,,,,,0,,TRF-026,CAN 1050 CAD$,N,-3635,,,,,,,,,,,57
2026-01-20,MC DEP 12233920,,141.97,"10,018.44",,-141.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2026-01-20,MC FEE 12233920,,-4.32,"10,014.12",,,,,,,,,,,,,,,,,,,4.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2026-01-20,VSA FEE12233920,,-0.21,"10,013.91",,,,,,,,,,,,,,,,,,,0.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2026-01-21,Misc Payment,HSA CAD CAN,-370.38,"9,643.53",,,,,,,,,,,,,,,,,,,370.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2026-01-21,Other loan,Loan interest,-3.12,"9,640.41",,,,,,,,,,,,,,,,,,,3.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2026-01-21,MC DEP 12233920,,187.15,"9,827.56",,-187.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2026-01-21,MC DEP 12374336,,379.8,"10,207.36",,-379.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2026-01-21,MC FEE 12233920,,-4.26,"10,203.10",,,,,,,,,,,,,,,,,,,4.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2026-01-21,VSA DEP12233920,,222.28,"10,425.38",,-222.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2026-01-21,VSA FEE12233920,,-4.24,"10,421.14",,,,,,,,,,,,,,,,,,,4.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2026-01-22,Misc Payment,PAYPAL,1416.98,"11,838.12",,-1416.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2026-01-22,AMX DEP12233920,,39.38,"11,877.50",,-39.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2026-01-22,MC FEE 12233920,,-0.06,"11,877.44",,,,,,,,,,,,,,,,,,,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2026-01-22,VSA DEP12233920,,4705.27,"16,582.71",,-4705.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2026-01-22,VSA FEE12233920,,-84.63,"16,498.08",,,,,,,,,,,,,,,,,,,84.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2026-01-23,MC DEP 12233920,,2112.14,"18,610.22",,-2112.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2026-01-23,MC DEP 12374336,,436.8,"19,047.02",,-436.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2026-01-23,MC FEE 12233920,,-47.25,"18,999.77",,,,,,,,,,,,,,,,,,,47.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2026-01-23,VSA DEP12233920,,3546.43,"22,546.20",,-3546.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2026-01-23,VSA FEE12233920,,-94.65,"22,451.55",,,,,,,,,,,,,,,,,,,94.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2026-01-26,Online Banking payment - 3240,CYCLES LAMBERT,-535.03,"21,916.52",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,535.03,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2026-01-26,Direct Deposits (PDS) service total,GRADS8318600000,-716.1,"21,200.42",,,,,,,,,,,,,,,,,,,716.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2026-01-26,e-Transfer sent,Shipco,-606.26,"20,594.16",,,,,,,,,,,,,,,,,,,606.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2026-01-26,MC DEP 12233920,,840.28,"21,434.44",,-840.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2026-01-26,MC DEP 12374336,,77.49,"21,511.93",,-77.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2026-01-26,MC FEE 12233920,,-16.08,"21,495.85",,,,,,,,,,,,,,,,,,,16.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2026-01-26,MC FEE 12233920,,-0.06,"21,495.79",,,,,,,,,,,,,,,,,,,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2026-01-26,Online Banking transfer - 5748,,-3000,"18,495.79",,,,,,,,,,,,,,,,,,,,,,,,,,,,3000,,,,,,,,,,,,,,,,,,,,0,,TRF-V5-007,CAN 2130 CAD,,-2181,,,,,,,,,,,58
2026-01-26,VSA DEP12233920,,2102.54,"20,598.33",,-2102.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2026-01-26,VSA DEP12233920,,845.75,"21,444.08",,-845.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2026-01-26,VSA DEP12233920,,1675.83,"23,119.91",,-1675.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2026-01-26,VSA DEP12374336,,327.04,"23,446.95",,-327.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2026-01-26,VSA FEE12233920,,-16.11,"23,430.84",,,,,,,,,,,,,,,,,,,16.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2026-01-26,VSA FEE12233920,,-40.24,"23,390.60",,,,,,,,,,,,,,,,,,,40.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2026-01-26,VSA FEE12233920,,-28.02,"23,362.58",,,,,,,,,,,,,,,,,,,28.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2026-01-27,e-Transfer sent,Liam Morgan Cinematography,-525,"22,837.58",,,,,,,,,,,,,,,,,,,525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2026-01-27,EF0127 12374336,,33.59,"22,871.17",,-33.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2026-01-27,MC DEP 12233920,,333.54,"23,204.71",,-333.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2026-01-27,MC FEE 12233920,,-6.84,"23,197.87",,,,,,,,,,,,,,,,,,,6.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2026-01-27,VSA DEP12374336,,647,"23,844.87",,-647,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2026-01-28,Direct Deposits (PDS) service total,GRADS8318600000,-556.24,"23,288.63",,,,,,,,,,,,,,,,,,,556.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2026-01-28,Misc Payment,HSA CAD CAN,-758.48,"22,530.15",,,,,,,,,,,,,,,,,,,758.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2026-01-28,MC FEE 12233920,,-0.12,"22,530.03",,,,,,,,,,,,,,,,,,,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2026-01-28,VSA DEP12233920,,2948.1,"25,478.13",,-2948.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2026-01-28,VSA DEP12374336,,107.52,"25,585.65",,-107.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2026-01-28,VSA FEE12233920,,-49.28,"25,536.37",,,,,,,,,,,,,,,,,,,49.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2026-01-29,MC DEP 12374336,,26.87,"25,563.24",,-26.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2026-01-29,MC FEE 12233920,,-1.86,"25,561.38",,,,,,,,,,,,,,,,,,,1.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2026-01-29,VSA DEP12233920,,7567.29,"33,128.67",,-7567.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2026-01-29,VSA FEE12233920,,-168.27,"32,960.40",,,,,,,,,,,,,,,,,,,168.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2026-01-30,Online Banking payment - 5228,OUTDOOR GEAR,-548.45,"32,411.95",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,548.45,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2026-01-30,Prov/Local Gvt Payment,PROVINCE OF BC,-2746.31,"29,665.64",,,,,,,,,,,,,,,,,,,2746.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2026-01-30,AMX DEP12233920,,855.55,"30,521.19",,-855.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2026-01-30,MC FEE 12233920,,-1.73,"30,519.46",,,,,,,,,,,,,,,,,,,1.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2026-01-30,VSA DEP12233920,,6151.71,"36,671.17",,-6151.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2026-01-30,VSA FEE12233920,,-113.71,"36,557.46",,,,,,,,,,,,,,,,,,,113.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2026-02-02,Business PAD,SPECIALIZED,-434.7,"36,122.76",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,434.7,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2026-02-02,AMX DEP12233920,,2002.06,"38,124.82",,-2002.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2026-02-02,AMX FEE12233920,,-85.42,"38,039.40",,,,,,,,,,,,,,,,,,,85.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2026-02-02,AMX FEE12374336,,-1.46,"38,037.94",,,,,,,,,,,,,,,,,,,1.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2026-02-02,INT FEE12374336,,-0.4,"38,037.54",,,,,,,,,,,,,,,,,,,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2026-02-02,MC FEE 12233920,,-0.06,"38,037.48",,,,,,,,,,,,,,,,,,,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2026-02-02,MC FEE 12233920,,-16.4,"38,021.08",,,,,,,,,,,,,,,,,,,16.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2026-02-02,MC FEE 12374336,,-49.2,"37,971.88",,,,,,,,,,,,,,,,,,,49.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2026-02-02,MON FEE12233920,,-27.3,"37,944.58",,,,,,,,,,,,,,,,,,,27.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2026-02-02,MON FEE12344503,,-27.3,"37,917.28",,,,,,,,,,,,,,,,,,,27.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2026-02-02,MON FEE12374336,,-45.5,"37,871.78",,,,,,,,,,,,,,,,,,,45.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2026-02-02,VSA DEP12233920,,59.81,"37,931.59",,-59.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2026-02-02,VSA DEP12233920,,2384.89,"40,316.48",,-2384.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2026-02-02,VSA FEE12233920,,-54.35,"40,262.13",,,,,,,,,,,,,,,,,,,54.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2026-02-02,VSA FEE12233920,,-0.05,"40,262.08",,,,,,,,,,,,,,,,,,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2026-02-02,VSA FEE12233920,,-1.88,"40,260.20",,,,,,,,,,,,,,,,,,,1.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2026-02-02,VSA FEE12374336,,-18.72,"40,241.48",,,,,,,,,,,,,,,,,,,18.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2026-02-03,Business PAD,Clearbridge Bus,-1223.61,"39,017.87",,,,,,,,,,,,,,,,,,,1223.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2026-02-03,Payroll Deposit,INTUIT 09650796,-2594.32,"36,423.55",,,,,,,,,,,,,,,,,,,2594.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2026-02-03,Payroll Deposit,INTUIT 09650796,-1797.07,"34,626.48",,,,,,,,,,,,,,,,,,,1797.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2026-02-03,Payroll Deposit,INTUIT 09650796,-5013.67,"29,612.81",,,,,,,,,,,,,,,,,,,5013.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2026-02-03,Payroll Deposit,INTUIT 09650796,-1739.32,"27,873.49",,,,,,,,,,,,,,,,,,,1739.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2026-02-03,Payroll Deposit,INTUIT 09650796,-1550.16,"26,323.33",,,,,,,,,,,,,,,,,,,1550.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2026-02-03,Payroll Deposit,INTUIT 09650796,-2096.76,"24,226.57",,,,,,,,,,,,,,,,,,,2096.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2026-02-03,Payroll Deposit,INTUIT 09650796,-693.76,"23,532.81",,,,,,,,,,,,,,,,,,,693.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2026-02-03,Payroll Deposit,INTUIT 09650796,-1442.14,"22,090.67",,,,,,,,,,,,,,,,,,,1442.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2026-02-03,Payroll Deposit,INTUIT 09650796,-1843.86,"20,246.81",,,,,,,,,,,,,,,,,,,1843.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2026-02-03,Payroll Deposit,INTUIT 09650796,-4430.69,"15,816.12",,,,,,,,,,,,,,,,,,,4430.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2026-02-03,Payroll Deposit,INTUIT 09650796,-1970.11,"13,846.01",,,,,,,,,,,,,,,,,,,1970.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2026-02-03,Payroll Deposit,INTUIT 09650796,-1843.86,"12,002.15",,,,,,,,,,,,,,,,,,,1843.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2026-02-03,Payroll Deposit,INTUIT 09650796,-2096.76,"9,905.39",,,,,,,,,,,,,,,,,,,2096.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2026-02-03,Payroll Deposit,INTUIT 09650796,-1797.07,"8,108.32",,,,,,,,,,,,,,,,,,,1797.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2026-02-03,Payroll Deposit,INTUIT 09650796,-1397.61,"6,710.71",,,,,,,,,,,,,,,,,,,1397.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2026-02-03,Payroll Deposit,INTUIT 09650796,-1843.86,"4,866.85",,,,,,,,,,,,,,,,,,,1843.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2026-02-03,Payroll Deposit,INTUIT 09650796,-1445.43,"3,421.42",,,,,,,,,,,,,,,,,,,1445.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2026-02-03,Payroll Deposit,INTUIT 09650796,-2096.24,"1,325.18",,,,,,,,,,,,,,,,,,,2096.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2026-02-03,Payroll Deposit,INTUIT 09650796,-1970.11,-644.93,,,,,,,,,,,,,,,,,,,1970.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2026-02-03,MC DEP 12233920,,139.97,-504.96,,-139.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2026-02-03,MC FEE 12233920,,-4.27,-509.23,,,,,,,,,,,,,,,,,,,4.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2026-02-03,Monthly fee,,-6,-515.23,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2026-02-03,VSA DEP12233920,,1669.17,"1,153.94",,-1669.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2026-02-03,VSA FEE12233920,,-32.28,"1,121.66",,,,,,,,,,,,,,,,,,,32.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2026-02-04,Direct Deposits (PDS) service total,GRADS8318600000,-574.35,547.31,,,,,,,,,,,,,,,,,,,574.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2026-02-04,Misc Payment,HSA CAD CAN,-137.91,409.40,,,,,,,,,,,,,,,,,,,137.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2026-02-04,MC DEP 12233920,,71.88,481.28,,-71.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2026-02-04,MC FEE 12233920,,-1.63,479.65,,,,,,,,,,,,,,,,,,,1.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2026-02-04,VSA DEP12233920,,5481.95,"5,961.60",,-5481.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2026-02-04,VSA DEP12374336,,164.05,"6,125.65",,-164.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2026-02-04,VSA FEE12233920,,-125.77,"5,999.88",,,,,,,,,,,,,,,,,,,125.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2026-02-05,Credit memo,FT916759072,27300,"33,299.88",,,,,,,,,,,,,,,,,,,,,,,,,,-27300,,,,,,,,,,,,,,,,,,,,,,0,,TRF-092,CAN 1015 USD,Y,19847.1,,,,,,,,,,,59
2026-02-05,Misc Payment,PAYPAL,34.55,"33,334.43",,-34.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2026-02-05,Activity fee,,-408,"32,926.43",,,,,,,,,,,,,,,,,,,408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2026-02-05,MC DEP 12233920,,2809.86,"35,736.29",,-2809.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2026-02-05,MC FEE 12233920,,-65.87,"35,670.42",,,,,,,,,,,,,,,,,,,65.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2026-02-05,VSA FEE12233920,,-0.27,"35,670.15",,,,,,,,,,,,,,,,,,,0.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2026-02-06,Misc Payment,HSA CAD CAN,-160.89,"35,509.26",,,,,,,,,,,,,,,,,,,160.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
